utcTime,sessionTime,frame,playerPosition,action,hand,hold,details
2026-06-28T00:38:16.6902550Z,16.432,164,"(-0.089,0.977,-0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.7900570Z,16.537,165,"(-0.087,0.978,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.8898390Z,16.625,166,"(-0.085,0.978,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.9899070Z,16.724,167,"(-0.085,0.985,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.0902310Z,16.829,168,"(-0.083,0.988,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.1903300Z,16.935,169,"(-0.083,0.991,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.2903860Z,17.024,170,"(-0.083,0.991,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.3900610Z,17.138,171,"(-0.083,0.992,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.4902660Z,17.226,172,"(-0.082,0.992,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.5898870Z,17.329,173,"(-0.081,0.995,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.6904060Z,17.428,174,"(-0.081,0.995,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.7901490Z,17.534,175,"(-0.081,0.996,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.8898010Z,17.626,176,"(-0.081,0.994,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:17.9903860Z,17.726,177,"(-0.081,0.995,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.0901530Z,17.840,178,"(-0.080,0.994,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.1901300Z,17.927,179,"(-0.081,0.995,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.2897690Z,18.026,180,"(-0.081,0.994,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.3898700Z,18.128,181,"(-0.082,0.996,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.4897490Z,18.231,182,"(-0.081,0.994,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.5897830Z,18.328,183,"(-0.081,0.996,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.6903480Z,18.431,184,"(-0.081,0.994,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.7903640Z,18.531,185,"(-0.082,0.996,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.8898250Z,18.628,186,"(-0.082,0.995,-0.006)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:18.9899650Z,18.742,187,"(-0.082,0.996,-0.005)",LocomotionStop,,,grip locomotion stopped
